Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID1 0.552),ID83D (False Positive) (ID5 0.875),ID83E (ID8 0.989),ID83F (ID3 0.977),ID83G (ID6 0.997),ID83H (ID9 0.994),ID83I (ID13 0.989),ID83J (ID4 0.99),ID83K (ID14 0.979)
DEL,C,1,0,0.00229535257038743,0,0.00342825388812649,0.000261311358626721,0.0289596029371023,0.0863238369300962,0.0222589480411261,0.381468484401703,0.00214966522966063,0.010019850029192,0.00315497643921646
DEL,C,1,1,2.34379049501854e-11,3.10715232356972e-05,0.000337470920908984,0.00675828720437186,0.0196736316895112,0.237437105923891,0.00111202523906973,0.0979835012555122,0.00376247079368783,0.000307055370116736,9.3893280256907e-05
DEL,C,1,2,0,4.62807594470149e-10,0,0.0071443956065923,1.74592216239944e-10,0.217873002886772,0.00398463982157409,0,0.00859372194114258,0.00124240719245037,3.80329678861813e-11
DEL,C,1,3,0.00164213681473484,0.00134035840717843,0.0106887642413397,0.00803707482526079,0.00474054779857416,0.0766873351484537,1.49540666097947e-05,0.0102242731372826,0.00488580757577438,0.000922425292010303,0.000585455630134675
DEL,C,1,4,0.00242973744956544,0.00018531270314007,0.0132495366386138,5.14340352918698e-05,8.84853162778057e-05,0.0455203417688608,0.0017064892972121,0.0138218859862536,0.000587609372367379,0.00223399388836697,0.00150633911165642
DEL,C,1,5+,0.0114996052440256,0.000657495371755204,0.0436578690519673,0.000306613123830195,1.10783514719515e-05,0.0265674441866577,0.000883077716571279,8.84638815469596e-05,0.000121010592739998,0.00210256317106541,0.00364817064488307
DEL,T,1,0,0.00362814055131935,0.000283090716451478,0.0332864472300553,0.144346884284168,0.0335837862640619,0.0211212110891938,5.27095071579895e-05,0.119807828888297,0.0514227682538331,0.00617740631540073,0.0161750246537849
DEL,T,1,1,0,1.06867577331915e-08,1.93086622246597e-10,0.00909672369806913,0.000325006151816094,0.00459933534155377,7.27053555033117e-06,0.00451201220496377,0.528310744017363,0.00115736508457719,2.71864069656402e-08
DEL,T,1,2,0.00557731552049518,1.33561652733297e-05,0.0170207521168049,0.175546332141384,0.00307448880076627,0.000381960747777052,0.0077244113245979,0.0923836375027895,0.0380784046836197,0.00318661492123881,0.0053556672250852
DEL,T,1,3,0.0142409743485769,0.000892260340284557,0.0555455321832147,0.117999570257962,0.00154538834824444,0.000874812738983198,0.0196358847152442,0.116152549758554,0.0657673905417323,0.00764959202780178,0.0126596303563565
DEL,T,1,4,0.0255229872415813,0.000188354265410455,0.186029041986913,0.0662474473379552,1.3862907053408e-08,0.000517536621764684,0.0132911790115759,0.101605144776404,0.0100165405888275,0.00983987649065967,0.0100452189240605
DEL,T,1,5+,0.884774807095528,0.000558750261954467,0.0170547411078754,0.0203290653493781,0.000288757193858808,0.000634282712270521,0.000122567554616059,0.00558108686976625,0.00113965424112885,0.0011881214818389,0.058380251085369
INS,C,1,0,2.52738839759971e-35,1.02413240250231e-09,3.53848219354167e-10,3.57517680091529e-08,1.51194567244672e-07,1.37094877885602e-07,9.27001661004816e-09,2.42920852095289e-07,5.57517217509587e-08,7.84875446122751e-08,0.546737194955349
INS,C,1,1,0.00017804604282901,7.42216548753699e-06,0.000238185025452822,0.0120100118359551,0.00216299447114579,0.0035542108269874,0.00145702352048829,0,0.000920280474711035,5.15189048746834e-05,0.0147226389031857
INS,C,1,2,1.19317683354137e-05,5.53645155272342e-07,5.11404951885197e-05,0.00960555897556333,0.0016400458291173,0.00313873797422275,5.0607724614693e-06,1.24219725844377e-05,0.00149481101805577,4.10514031415199e-05,0.000511720892100129
INS,C,1,3,0.000228896860302103,0.000592059582941147,0.00302429519186956,0.00135699199614464,7.27206381270662e-06,0.00850145803298801,0,9.77219752655856e-07,0.000184454198752064,0.000660871011132258,0.000719046294252621
INS,C,1,4,0.00186891048799992,0.000758863816031042,0.0127646836155327,5.19241606748482e-05,2.22560588964882e-05,0.00817624733317643,0.000221011398280098,4.734191856689e-05,4.93350464239484e-06,2.15768367064202e-20,0.000717838532509632
INS,C,1,5+,0.00364282129145805,0.0146427838779338,0.0938222234114073,3.16063268110156e-05,0,0.0078788360580802,0,4.8500392040296e-08,0,0.000410524285698557,0.00206290693786299
INS,T,1,0,0.000592727038210796,0.00182738282514038,0.00819150980561972,3.74122816720046e-05,0.00278008530498482,0.0184600206092,0.00658541385084391,0.0132445422746241,0.0303449392877519,0.00392241258290596,0.0398319100029767
INS,T,1,1,3.70088528711676e-10,1.00148501088748e-06,7.744618691504e-05,0.0207448497708558,0.00416022176155821,0.0637102013453841,9.02518281979425e-05,0.0063773157610558,0.00713663558912231,0.000356624057773591,0.00288977143936791
INS,T,1,2,0.000275525211522641,5.62861721675745e-10,0.00246343227441685,0.0466648430778878,5.64832356582379e-05,0.0539680521562696,0,3.15507077900179e-06,0.00903080812016924,5.48221747158095e-05,0.00139588016521884
INS,T,1,3,0.000582168876377676,0.00264698306593346,0.0118177277164069,0.0311383735761046,0.000124164210427476,0.0305908953025937,4.10129304609549e-05,0.000109898725198647,0.0138730674982071,0.000301759669403858,0.000247206903690145
INS,T,1,4,0.00158714712327008,0.0118015775131062,0.0437546328903409,0.0169838019274175,0.000229297860962302,0.00784936390351504,0.000411524905175611,0.00169253226110244,0.0116687518171966,0.000868427013265318,0.00511683776043356
INS,T,1,5+,0.00210368592005324,0.943289080262184,0.163120470332912,0.00104531755094337,0.00244993263061326,0.00205854609908274,0.00636034661216804,0.00288782945027003,0.00132556500269013,0.00115802519041632,0.15049642931392
DEL,repeats,2,0,9.70836633999014e-06,0.000131520005652635,0.000487792110301497,0.0249156901612878,0.00735530209029093,0.00867018187884241,6.01731153137585e-05,0.0126973971910775,0.027654547393322,0.092274423079798,0.0010637287785903
DEL,repeats,2,1,0.00231535359402187,3.80597616101357e-05,0.00721529025851851,0.0203294805856422,0.00775937686674297,0.0118056139163673,0.00031140505166293,0.000414628283530557,0.00705736006726511,0.199489277824759,0.00718888609204441
DEL,repeats,2,2,0.00135799928480992,0.000280584495485527,0.00443895654316315,0.00168238976912107,1.80281025669735e-23,0.0136593794170767,0.00160427520633675,9.42250480875373e-06,0.00253537307726219,0.0462961104232818,0.00252606176421978
DEL,repeats,2,3,0.000918761707434896,0.000119396899108324,0.000820849854160158,1.54749758075923e-05,0,0.00631239226087928,0.000368266870504377,4.37954116932815e-06,0,0.0106508816289715,0.000187052754517936
DEL,repeats,2,4,0.000913506214274094,2.38640677252988e-06,0.00056486728348758,0.000684212264168309,0.000204070234585743,0.00326589179458097,0.000104927713629195,0.000172995682062265,4.16263493707447e-05,0.00332085448433645,0.000285036921359279
DEL,repeats,2,5+,3.06281972006772e-12,3.04517221216827e-09,9.04481171963623e-06,0.0242060351371765,7.83349461904459e-05,0.00145297007585779,1.08645784084316e-05,0,0.0179769168269374,0.00111822881711117,1.29026789252862e-09
DEL,repeats,3,0,6.80299710680288e-06,7.72582741458227e-06,0.000275575162231689,0.0225675839623545,0.0143799382261932,0.00125693188048899,0.000602228565730911,0.00152204620775592,0.00886459931964055,0.00499817284115125,0.00147619376133662
DEL,repeats,3,1,0.0022095368596169,0.00217891414901926,0.0330078061311201,0.00146765344873795,8.40362567872611e-05,6.01100639273821e-06,0.0038983899843879,0.000409023969963406,6.42689402502584e-05,0.105734845325351,0.00544189770938829
DEL,repeats,3,2,0.00142924794477835,0.000356429761676301,0.00704653226566734,0.000269568717062495,8.17884044547145e-05,3.54734038410243e-07,0.00051151094128727,0.000311221190636395,0.000625757308266657,0.0143134367349558,0.00162075331027154
DEL,repeats,3,3,0.000279758193461195,0.000137636158169681,0.00299149373866385,0.000527699877275154,0.000262344997781838,3.28163625079014e-05,0.000117414251481029,0.000169228473978505,5.57624670972456e-05,0.00372627242002636,0.000411999435345933
DEL,repeats,3,4,1.29388218889082e-10,4.08325677728194e-09,2.7398887292307e-09,0.00759176357649267,9.16593309252534e-09,3.17344851904e-05,1.92437263257794e-07,3.94403922854281e-10,0.00293404957968221,0.000533899531492494,1.14151889587966e-06
DEL,repeats,3,5+,5.42955702620418e-11,4.67214676350136e-09,1.45430229281374e-08,0.010497368182987,2.54032413771199e-09,0.000451597077885158,2.763647182834e-05,1.5374190775006e-05,0.00532862620549398,0.000399161083255226,2.25256652278485e-05
DEL,repeats,4,0,2.64217228505004e-07,3.74778153740074e-05,6.39061473233771e-05,0.0138831980636746,0.00746929586399347,0.000102711726127388,0.00232891758787446,0.000651464033676396,0.00756118928315118,0.00611874596826965,0.000166259153302235
DEL,repeats,4,1,0.0012231770208487,0.000206669932777184,0.00805938916280866,0.000377267598916424,0.000420501589529891,0.00105856002715882,0.00239797013578936,0.00222479085903615,4.50116276792301e-05,0.05769760703668,0.000643397279673081
DEL,repeats,4,2,0.000454210777319304,4.62938509748767e-11,0.00020161479602756,1.12311821340971e-05,1.97697031504518e-06,0,0.000523409453599015,1.55348598218463e-05,1.79952150028839e-05,0.0113767518126406,0.000514227905591724
DEL,repeats,4,3,5.13194925807342e-08,3.60785777624345e-09,3.44565177003808e-05,0.00438430290203542,1.64345407331405e-05,0.000135027901898614,9.90291028046819e-05,4.82040358953384e-07,0.0022481661443851,0.0038396013318561,4.26318969457862e-05
DEL,repeats,4,4,5.1894215452597e-11,1.24517647455413e-07,7.53343532894241e-05,0.00492027193408912,0.000135101810505978,0.000367057999663159,1.01417039804408e-05,7.35087501979592e-11,0.00404184692071148,0.000141509135221389,1.70792846532208e-11
DEL,repeats,4,5+,0.000108059993704615,1.22621410967394e-05,0.000648037534058343,0.00200814573734533,4.77182293678879e-11,5.12916952919262e-05,8.60584054680658e-05,2.80259692864963e-47,0.00064451317502062,0.000729024086758727,3.26317816293908e-05
DEL,repeats,5+,0,0,7.70531622951154e-10,0.00631037832321415,0.00735349599272013,0.313293390812432,0.00121988391156937,0.0107371268728343,0.000245241023841448,0.0184996587119531,0.00266725288175849,0.000532306698180154
DEL,repeats,5+,1,0.00326090319082141,7.66969732168832e-11,0.00101963409709803,4.04763640835881e-05,0,5.60519385729927e-47,0.00743934602942318,8.7050910005928e-05,0.00094420461304253,0.0124968568910845,0.00037351941753424
DEL,repeats,5+,2,0.000343270984812989,7.05178172029264e-05,0.000915789426017,0.000261568334467484,0.000306666237893296,2.23945132165682e-05,0.000430040071441908,3.42105104056145e-05,0.000291987372215772,0.00272525624604896,2.45203014128492e-05
DEL,repeats,5+,3,8.57893204435101e-05,3.45810703471283e-06,0.000442900674100315,0.000290848955555703,1.36298698358122e-21,1.40991695388948e-05,0.000189432486076839,7.24025704917253e-05,3.36059551380963e-05,0.000983992619730998,9.27461633568782e-05
DEL,repeats,5+,4,4.63552572736286e-05,2.04777359912312e-07,0.000363897345815776,6.30944993239035e-05,0,3.50602661973569e-05,8.79529894427833e-05,3.05958039261167e-05,2.19060686313766e-05,0.000120937734564786,8.82125485974328e-06
DEL,repeats,5+,5+,3.80684323681635e-05,1.23218986249407e-05,7.91835152826091e-05,0.000854187135846587,1.88811858234939e-07,2.00798924197443e-06,0,3.23582660316324e-05,0.000444991312091086,0.000117190565408905,2.50123690193504e-05
INS,repeats,2,0,0.000142105621259191,0.000489066392773236,0.00160543640944674,0.00599339831678662,0.00173630838922691,0.002296415847959,0.00202460165019147,0.000758732640812128,0.0115970992576331,0.00084322725131143,0.026523860078305
INS,repeats,2,1,0.000201763820514316,1.27558247709233e-05,0.000641616343746136,0.0273888336619712,0.00126077190041542,0.00272689249017276,5.53529634059657e-05,0.00124035073342384,0.00759593069698894,0.000298111807875046,4.38379180877746e-06
INS,repeats,2,2,0.000792248966972693,0.00015519311957548,0.00248154172519173,0.0104405629634857,0.000273733060359506,0.00128192292526364,0.000380591318426013,0.00037944087390315,0.00240280732417887,0.000119679237668606,0.00114020700479159
INS,repeats,2,3,0.000294778137903613,0.000307621521060355,0.00246747804325423,0.00140045480511617,0.00032811475917697,0.000903065179591067,0.000318668723339215,0.000367283346959095,0.000984032003179891,0.000290491324234381,0.000998768946446944
INS,repeats,2,4,0.00144511364705977,0.00173585447417281,0.012275500066462,3.96753596487544e-05,2.17387966677679e-05,0.000207771821412734,4.58723011934128e-05,7.05506712822094e-05,1.57278231563396e-05,9.35907305301953e-05,0.00381782376207411
INS,repeats,2,5+,0.0086024027163811,0.00838013682307405,0.117830482177669,0.000235052617801834,0.000139647422720043,0,7.75519749569575e-07,1.33408694115378e-05,0.000247108154647718,0.000127945018516584,6.63052812888054e-05
INS,repeats,3,0,1.27467098303669e-05,3.91815193233036e-05,0.000203504890778277,0.00581026648113038,0.000347455083859423,0.000133974793516813,0.00103533786546905,0.000505650836857968,0.00129211128645693,0.000105904916631516,0.00805591813288629
INS,repeats,3,1,0.000740501165419119,0.000201105636578891,0.00434998448734405,0.00745011817314662,0.000297941414089867,0.00032769676501791,5.02006328501617e-05,0.000530797789876943,0.00540845289593563,0.000532891010807362,0.00303294485493097
INS,repeats,3,2,0.000135092511742414,2.69724813772254e-05,0.00049736071309565,0.00188568082958227,0,0.000104590636710782,0.000814510209311266,5.43616672075586e-06,0.000581581325313891,0.00106689727967023,0.000287695839126627
INS,repeats,3,3,1.45822148226915e-05,0.000130657504250848,0.000269541406243042,9.28017129808723e-11,2.83396738701214e-05,1.78544964001048e-06,0.000313210085878382,2.41922897293989e-05,7.1107220298483e-05,3.9360247865261e-06,0.000283606328457608
INS,repeats,3,4,9.63597672458501e-05,7.75344100543407e-05,0.000553657607890863,1.86400809320005e-05,9.695347722527e-05,1.27038974181914e-05,0.000150192751789291,4.72015819543448e-05,0,0.000112516503893119,0.000906180352903903
INS,repeats,3,5+,0.00162772082170704,0.000650534926213311,0.00824407260457519,6.33224562163537e-05,2.20656669968823e-05,1.27119448734447e-06,0,1.61362582851154e-09,0,2.06071702396571e-05,0.00212152232707012
INS,repeats,4,0,1.98562361501642e-05,1.65183993110496e-06,4.27066373231355e-05,0.00277740613340256,0.000646892043514526,9.0582982156775e-05,0.00172599136945792,2.24119459744543e-06,0.00258973484335002,0.000512005834898446,0.00535667838063091
INS,repeats,4,1,0.000692168983137186,0.000336933929999091,0.00669609555392526,0.00396956390701234,0.000617489919708958,1.13474539516915e-05,0.000678252425568644,0.000959413962773397,0.00520352819934487,0.00156496155708737,0.00188669262162875
INS,repeats,4,2,2.42458600696605e-06,4.16425931226927e-05,0.000109165370254232,0.000442061295034364,0.000134370986697832,0.000117040504132575,0.000448658004315803,3.08770424453542e-05,0.000157646391007376,3.56039659124008e-05,5.94163468861098e-05
INS,repeats,4,3,0.000250127496728965,5.29448550668565e-05,0.000227361591838502,1.47642112175106e-06,3.99439013563097e-07,1.63325203175191e-06,0.000403729199024383,3.34863434545696e-07,0,7.90029779454926e-05,0.000807928518333938
INS,repeats,4,4,0.000106941596115078,0.000327319712378085,0.0010047354549457,7.90031752330968e-06,0.000101157829183194,7.49863829696551e-07,2.26614580661533e-06,0.000174805315800768,2.10095318084313e-05,0.000257470300057321,0.00144663586455863
INS,repeats,4,5+,0.00159214060142538,0.000444468835303665,0.00869688555336325,0.00071238332107896,0.000943779777153395,5.43293390364852e-07,2.19085206481395e-05,0,0.000781873375053692,0.00010945579552754,0.000160013065324165
INS,repeats,5+,0,5.28656174392239e-12,2.17801790558525e-08,2.79010978522509e-09,0.00446925864554942,0,0.000216351325960888,0.00894166713580489,6.51600261335261e-06,0.00529160996433348,3.84451257771801e-05,0.0028328235540539
INS,repeats,5+,1,1.83427255983961e-05,0.00159268079441972,0.00213888420996369,0.00158858963783132,0.0113634126633406,0.000388595249687578,0.00572848572861403,0.00110128342703096,0.0150470670405775,0.00214325663124328,0.0253910186514258
INS,repeats,5+,2,5.81494055150955e-06,0.000199520753531033,0.000429146368874171,0.000364022187022921,7.99994843873759e-06,9.45498688485219e-06,0.0013623695273418,4.83767729749965e-06,0.000275701556383865,4.14331424963166e-05,0.000507517651567468
INS,repeats,5+,3,5.74552765501576e-05,0.000186353058088571,0.000778953138734847,0.000243240013787727,3.98131242340646e-05,5.93775383229593e-05,5.92588833183072e-05,0.000131539743251778,1.63309401568768e-05,1.35256172325171e-05,9.6749754177381e-05
INS,repeats,5+,4,6.94330891189532e-06,0.000185906373026228,0.000350394160849462,0.000233889331066166,1.60001208575977e-05,1.16470970169758e-05,2.66757275358032e-05,0.000102046382098209,3.76181929459563e-05,6.1707852161419e-11,1.62359791170275e-05
INS,repeats,5+,5+,4.25201469778358e-05,0.000151209463220657,0.000620681082360524,0.000817298089968972,0.000390903404186247,4.98894699285302e-05,2.15959026440647e-07,2.42510473327684e-06,0.000268975180568987,7.61229002819164e-06,0
DEL,MH,2,1,4.49507780444947e-06,1.50810821591463e-05,0.000129516915194321,0.0268470160663128,9.94486812204546e-05,0.00961451521608979,2.95663042925298e-05,7.35925044864416e-05,0.0134276093170047,0.209646345215151,0.00318318854831283
DEL,MH,3,1,1.62860595715131e-06,4.83269534513386e-06,0.00016912814261616,0.014108441285789,0.0121728121582419,0.00139928797492757,0.000833839559782064,0.0013983883203764,0.0111077141767601,0.00621569184120745,0.00127869656134862
DEL,MH,3,2,0.00152629929926667,0.000720765905590254,0.014240532641852,0.0103981822775677,0.00313602726906538,0.000530521833191528,0.00386768028140068,0.000178357316271835,0.00191447141833701,0.0426451801881194,0.00381230354309082
DEL,MH,4,1,2.24898888710223e-05,2.08629001645022e-05,0.000579088244884241,0.0118550475582015,0.00557316064834595,0.000123924623492887,0.00247800087789074,0.00193773578328546,0.0035853015689645,0.0125964398338692,9.11324517801404e-05
DEL,MH,4,2,0.000478126769085066,3.42073831897579e-05,0.000753235233461337,0.00687165393610485,0.000777533449325904,0.000185990648527147,0.00968455785885453,0.00149560961337554,0.00106772573521206,0.0313468556525186,0.000779124781838618
DEL,MH,4,3,0.000386376612773347,0,0.00148714313319942,0.00222733299597166,8.78869631936344e-05,0,0.00494582581333816,0.00109967209515162,0.000155465821440283,0.0489137885952368,0.0017812685953686
DEL,MH,5+,1,0.000536955109152331,7.03303116300624e-10,0.000155535056681604,0.000157693990648753,0.359918671250343,3.55754957969565e-05,0.0652129198238254,0.000180717060620808,0.000439387997036741,0.000410596197640193,0.00135970524359678
DEL,MH,5+,2,1.53293720499782e-08,1.72785225533703e-08,0.00984549719098196,0.00115243879612535,0.118769659557705,0.00114556064829472,0.269249715466067,3.39961399704658e-05,0.00349271520090326,2.69018078860484e-06,0.0014049722121962
DEL,MH,5+,3,1.69493741264404e-10,6.13377635461099e-09,0.000378109797941475,0.00437632092274725,0.0223547364491969,0.000584475984565014,0.246870662271976,1.53217178509177e-05,0.000602768380868243,0.000317058039513203,2.36999825909479e-05
DEL,MH,5+,4,0.000380505927350896,0,0.000423424084326967,0.000632592835972901,0.000169345480625534,0.00104599633641556,0.140437976568937,3.99896376583308e-38,0,0.00343025895883329,1.37494225054979e-05
DEL,MH,5+,5+,0.00207924906513654,0.000163570237560228,0.00462667030209565,2.13092425838113e-05,0.000352979292415437,0,0.113887935951352,2.31411337153986e-06,0.00556573358786409,0.00033285286442954,0.000735830091580283
